Model,Training Accuracy,Testing Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.7276266054873347,0.7259872132380594,0.7516672516672517,0.6578098602365228,0.7016135637644361
Decision Tree,0.7314440453579555,0.7271906731854081,0.7560369318181818,0.6539702042696974,0.7013093963600429
KNN,0.7327980141790624,0.7311771342610004,0.7709909577412807,0.6416833051758563,0.7004191114836547
SVC,0.7264606878913816,0.7241820233170365,0.7707539984767707,0.6217170941483643,0.6882597976706623
GaussianNB,0.7134099328657126,0.7144791274915382,0.7665423129785981,0.5996006757794502,0.6728714236470182
Random Forest,0.7485943170919759,0.7320045129748025,0.76171875,0.658884963907234,0.706579922589146
AdaBoost,0.7302969328845177,0.7263632944716059,0.7658708125115676,0.6355398556289357,0.6946449555145208
XGBoost,0.7385322768246584,0.7419495529548593,0.76064,0.6982961222091657,0.7281360085771175
